userAgent,Opera/9.80 (Android 2.2.2; Linux; Opera Mobi/ADR-1111101157; U; en) Presto/2.9.201 Version/11.50
language,en
name,Lg virgin opera

sprites,Static <img>,CSS3 2D transforms with <img>,Scale,31.98075772681954,10.32691924227318
sprites,Static <img>,CSS3 2D transforms with <img>,Translate,34.95172155688623,11.317240518962075
sprites,Static <img>,CSS3 2D transforms with <img>,Rotate,49.523904382470114,7.75398406374502
sprites,Static <img>,CSS3 3D transforms with <img>,Scale,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with <img>,Translate,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with <img>,Rotate,N/A,N/A
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Scale,88.45219123505976,12.350313033579965
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Translate,361.7532467532467,9.493506493506493
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Rotate,422.7643710870803,7.148548662492886
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Scale,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Translate,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Rotate,N/A,N/A
sprites,Static <img>,CSSMatrix transforms with <img>,Scale,N/A,N/A
sprites,Static <img>,CSSMatrix transforms with <img>,Translate,N/A,N/A
sprites,Static <img>,CSSMatrix transforms with <img>,Rotate,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear,Scale,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear,Translate,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear,Rotate,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Scale,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Translate,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Rotate,N/A,N/A
sprites,Static <img>,Canvas drawImage, partial clear,Scale,2751.123752495011,8.645043246839657
sprites,Static <img>,Canvas drawImage, partial clear,Translate,3475.8963110667996,10.130893035180174
sprites,Static <img>,Canvas drawImage, partial clear,Rotate,4122.651379195746,11.51578597540711
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Scale,N/A,N/A
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Translate,2911.2298105682958,7.14307078763709
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Scale,823.2462612163511,13.687437686939184
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Translate,787.3811428571428,115.6442857142857
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Rotate,50.09329155390971,22.54664577695485
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Scale,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Translate,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Scale,174.63313609467457,11.508875739644973
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Translate,157.44230769230768,21.920329670329668
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Rotate,310.75373878364906,12.531405782652044
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Scale,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Translate,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Scale,N/A,N/A
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Translate,N/A,N/A
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Rotate,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear,Scale,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear,Translate,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear,Rotate,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Scale,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Translate,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Rotate,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Scale,7704.320359281436,74.11676646706586
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Translate,4201.643570002851,17.41345879669233
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Rotate,6690.549999999999,20.235
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Scale,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Translate,6859.1625124626125,15.284479893652376
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Rotate,N/A,N/A

text,sans-serif,8pt,Solid outline,9.71
text,sans-serif,8pt,Solid fill,521.00
text,sans-serif,8pt,Solid fill + outline,9.80
text,sans-serif,10pt,Solid outline,8.91
text,sans-serif,10pt,Solid fill,360.00
text,sans-serif,10pt,Solid fill + outline,7.27
text,sans-serif,12pt,Solid outline,3.36
text,sans-serif,12pt,Solid fill,277.00
text,sans-serif,12pt,Solid fill + outline,8.74
text,sans-serif,14pt,Solid outline,7.48
text,sans-serif,14pt,Solid fill,409.00
text,sans-serif,14pt,Solid fill + outline,8.41
text,sans-serif,16pt,Solid outline,7.62
text,sans-serif,16pt,Solid fill,303.00
text,sans-serif,16pt,Solid fill + outline,2.80
text,sans-serif,24pt,Solid outline,7.34
text,sans-serif,24pt,Solid fill,286.00
text,sans-serif,24pt,Solid fill + outline,7.00
text,serif,8pt,Solid outline,6.67
text,serif,8pt,Solid fill,414.42
text,serif,8pt,Solid fill + outline,6.54
text,serif,10pt,Solid outline,6.54
text,serif,10pt,Solid fill,481.00
text,serif,10pt,Solid fill + outline,6.48
text,serif,12pt,Solid outline,3.28
text,serif,12pt,Solid fill,378.00
text,serif,12pt,Solid fill + outline,6.03
text,serif,14pt,Solid outline,6.03
text,serif,14pt,Solid fill,400.00
text,serif,14pt,Solid fill + outline,5.88
text,serif,16pt,Solid outline,5.88
text,serif,16pt,Solid fill,364.00
text,serif,16pt,Solid fill + outline,5.88
text,serif,24pt,Solid outline,5.50
text,serif,24pt,Solid fill,272.00
text,serif,24pt,Solid fill + outline,5.31
text,monospace,8pt,Solid outline,13.59
text,monospace,8pt,Solid fill,501.00
text,monospace,8pt,Solid fill + outline,12.62
text,monospace,10pt,Solid outline,12.50
text,monospace,10pt,Solid fill,462.00
text,monospace,10pt,Solid fill + outline,12.15
text,monospace,12pt,Solid outline,10.89
text,monospace,12pt,Solid fill,419.00
text,monospace,12pt,Solid fill + outline,10.68
text,monospace,14pt,Solid outline,10.48
text,monospace,14pt,Solid fill,397.00
text,monospace,14pt,Solid fill + outline,10.19
text,monospace,16pt,Solid outline,8.26
text,monospace,16pt,Solid fill,358.00
text,monospace,16pt,Solid fill + outline,9.00
text,monospace,24pt,Solid outline,7.84
text,monospace,24pt,Solid fill,268.00
text,monospace,24pt,Solid fill + outline,7.62

audioLatency,Cold latency (ms),N/A
audioLatency,Warm latency (ms),N/A
