userAgent,Opera/9.80 (Android 2.3.3; Linux; Opera Mobi/ADR-1111101157; U; en) Presto/2.9.201 Version/11.50
language,en
name,lg p999 opera

sprites,Static <img>,CSS3 2D transforms with <img>,Scale,20.259043687184867,4.092619539101892
sprites,Static <img>,CSS3 2D transforms with <img>,Translate,21.56095693779904,4.362602870813397
sprites,Static <img>,CSS3 2D transforms with <img>,Rotate,17.68371317398555,3.6325736520289045
sprites,Static <img>,CSS3 3D transforms with <img>,Scale,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with <img>,Translate,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with <img>,Rotate,N/A,N/A
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Scale,74.40582191780823,4.266389432485322
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Translate,83.82142857142857,4.647321428571429
sprites,Static <img>,CSS3 2D transforms with CSS backgrounds,Rotate,59.66521280849054,4.166575800530659
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Scale,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Translate,N/A,N/A
sprites,Static <img>,CSS3 3D transforms with CSS backgrounds,Rotate,N/A,N/A
sprites,Static <img>,CSSMatrix transforms with <img>,Scale,N/A,N/A
sprites,Static <img>,CSSMatrix transforms with <img>,Translate,N/A,N/A
sprites,Static <img>,CSSMatrix transforms with <img>,Rotate,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear,Scale,87,1.654394693200663
sprites,Static <img>,Canvas drawImage, full clear,Translate,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear,Rotate,318.66208251473483,1.5510805500982323
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Scale,N/A,N/A
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Translate,124.78901734104048,0.8397559409120106
sprites,Static <img>,Canvas drawImage, full clear, pixel aligned,Rotate,N/A,N/A
sprites,Static <img>,Canvas drawImage, partial clear,Scale,312.94768015794665,4.121816386969398
sprites,Static <img>,Canvas drawImage, partial clear,Translate,277.4280240831965,1.3771209633278598
sprites,Static <img>,Canvas drawImage, partial clear,Rotate,1533.6064999999999,5.2204999999999995
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Scale,N/A,N/A
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Translate,351.09215312662394,1.926381430798545
sprites,Static <img>,Canvas drawImage, partial clear, pixel aligned,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Scale,93.84848015488868,3.286195546950629
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Translate,79.84815900944933,2.151840990550668
sprites,Animated sprite sheet,CSS3 2D transforms with <img>,Rotate,70.35976447497546,2.1133137062479554
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Scale,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Translate,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with <img>,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Scale,60.01164383561644,3.2417808219178084
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Translate,64.89655172413794,4.068965517241379
sprites,Animated sprite sheet,CSS3 2D transforms with CSS backgrounds,Rotate,74.41492368569814,4.174674957603166
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Scale,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Translate,N/A,N/A
sprites,Animated sprite sheet,CSS3 3D transforms with CSS backgrounds,Rotate,N/A,N/A
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Scale,N/A,N/A
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Translate,N/A,N/A
sprites,Animated sprite sheet,CSSMatrix transforms with <img>,Rotate,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear,Scale,80.60787771898882,0.4129923574368019
sprites,Animated sprite sheet,Canvas drawImage, full clear,Translate,80.90333618477331,0.3755346449957229
sprites,Animated sprite sheet,Canvas drawImage, full clear,Rotate,92.22416107382551,0.3503355704697987
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Scale,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Translate,71.48582230623818,0.32892249527410206
sprites,Animated sprite sheet,Canvas drawImage, full clear, pixel aligned,Rotate,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Scale,225.17717426446814,3.6020045263498215
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Translate,268.5134693877551,3.5334110787172004
sprites,Animated sprite sheet,Canvas drawImage, partial clear,Rotate,256.50553530218406,1.329409010334794
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Scale,N/A,N/A
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Translate,252.78649531383132,1.5296080658903721
sprites,Animated sprite sheet,Canvas drawImage, partial clear, pixel aligned,Rotate,N/A,N/A

text,sans-serif,8pt,Solid outline,107.00
text,sans-serif,8pt,Solid fill,1812.00
text,sans-serif,8pt,Solid fill + outline,102.00
text,sans-serif,10pt,Solid outline,101.00
text,sans-serif,10pt,Solid fill,1737.00
text,sans-serif,10pt,Solid fill + outline,71.00
text,sans-serif,12pt,Solid outline,56.00
text,sans-serif,12pt,Solid fill,724.00
text,sans-serif,12pt,Solid fill + outline,79.00
text,sans-serif,14pt,Solid outline,66.00
text,sans-serif,14pt,Solid fill,1303.00
text,sans-serif,14pt,Solid fill + outline,77.00
text,sans-serif,16pt,Solid outline,73.00
text,sans-serif,16pt,Solid fill,1144.00
text,sans-serif,16pt,Solid fill + outline,47.00
text,sans-serif,24pt,Solid outline,61.00
text,sans-serif,24pt,Solid fill,976.00
text,sans-serif,24pt,Solid fill + outline,67.33
text,serif,8pt,Solid outline,77.00
text,serif,8pt,Solid fill,1857.00
text,serif,8pt,Solid fill + outline,74.00
text,serif,10pt,Solid outline,75.00
text,serif,10pt,Solid fill,1730.00
text,serif,10pt,Solid fill + outline,72.00
text,serif,12pt,Solid outline,70.00
text,serif,12pt,Solid fill,1538.00
text,serif,12pt,Solid fill + outline,67.00
text,serif,14pt,Solid outline,68.32
text,serif,14pt,Solid fill,1437.00
text,serif,14pt,Solid fill + outline,66.00
text,serif,16pt,Solid outline,66.00
text,serif,16pt,Solid fill,1304.00
text,serif,16pt,Solid fill + outline,62.38
text,serif,24pt,Solid outline,40.00
text,serif,24pt,Solid fill,922.00
text,serif,24pt,Solid fill + outline,32.67
text,monospace,8pt,Solid outline,132.00
text,monospace,8pt,Solid fill,1810.00
text,monospace,8pt,Solid fill + outline,123.00
text,monospace,10pt,Solid outline,122.00
text,monospace,10pt,Solid fill,1671.00
text,monospace,10pt,Solid fill + outline,94.00
text,monospace,12pt,Solid outline,111.00
text,monospace,12pt,Solid fill,1035.00
text,monospace,12pt,Solid fill + outline,102.00
text,monospace,14pt,Solid outline,100.00
text,monospace,14pt,Solid fill,1378.00
text,monospace,14pt,Solid fill + outline,95.00
text,monospace,16pt,Solid outline,95.00
text,monospace,16pt,Solid fill,1295.00
text,monospace,16pt,Solid fill + outline,87.00
text,monospace,24pt,Solid outline,75.25
text,monospace,24pt,Solid fill,928.00
text,monospace,24pt,Solid fill + outline,69.00

audioLatency,Cold latency (ms),199
audioLatency,Warm latency (ms),14
